id_hash,source_lat,source_lon,target_lat,target_lon,source,target,road_name
oyztk8,14.6175208,121.0354441,14.6182442,121.0350036,312,311,Doña Hemady Street
35wov4,14.622441,121.0294274,14.6217416,121.0298642,314,255,Gilmore Avenue
jezyyx,14.6211647,121.0271919,14.6218801,121.0267598,315,92,Broadway Avenue
jezyyx,14.6211647,121.0271919,14.6204301,121.0276357,315,259,Broadway Avenue
xr1egn,14.6339702,121.0590069,14.6335595,121.0591403,316,80,Anonas Street
xr1egn,14.6339702,121.0590069,14.6345204,121.0588455,316,88,Anonas Street
g060dj,14.6260378,121.0490802,14.6263138,121.049702,336,337,New York Avenue
wifwck,14.6260378,121.0490802,14.6257257,121.048331,336,7834,New York Avenue
g060dj,14.6263138,121.049702,14.6260378,121.0490802,337,336,New York Avenue
g060dj,14.6263138,121.049702,14.6265728,121.050281,337,338,New York Avenue
g060dj,14.6265728,121.050281,14.6267976,121.0507765,338,339,New York Avenue
g060dj,14.6265728,121.050281,14.6263138,121.049702,338,337,New York Avenue
g060dj,14.6267976,121.0507765,14.6270639,121.0513565,339,340,New York Avenue
g060dj,14.6267976,121.0507765,14.6265728,121.050281,339,338,New York Avenue
g060dj,14.6270639,121.0513565,14.627323,121.0519598,340,341,New York Avenue
g060dj,14.6270639,121.0513565,14.6267976,121.0507765,340,339,New York Avenue
g060dj,14.627323,121.0519598,14.6270639,121.0513565,341,340,New York Avenue
g060dj,14.627323,121.0519598,14.6275371,121.0524326,341,342,New York Avenue
g060dj,14.6275371,121.0524326,14.6277487,121.0529241,342,343,New York Avenue
g060dj,14.6275371,121.0524326,14.627323,121.0519598,342,341,New York Avenue
g060dj,14.6277487,121.0529241,14.6279936,121.0534899,343,344,New York Avenue
g060dj,14.6277487,121.0529241,14.6275371,121.0524326,343,342,New York Avenue
g060dj,14.6279936,121.0534899,14.6282465,121.0540665,344,345,New York Avenue
g060dj,14.6279936,121.0534899,14.6277487,121.0529241,344,343,New York Avenue
g060dj,14.6282465,121.0540665,14.6285005,121.0547032,345,346,New York Avenue
g060dj,14.6282465,121.0540665,14.6279936,121.0534899,345,344,New York Avenue
g060dj,14.6285005,121.0547032,14.6282465,121.0540665,346,345,New York Avenue
1pwugr,14.6268657,121.056246,14.6249404,121.0571523,356,2465,15th Avenue
8wydjp,14.627389,121.0574089,14.6279924,121.0571481,358,256,Albany Street
o1ik5u,14.6287801,121.0560842,14.6284967,121.0554626,360,113,Ermin Garcia Street
mq1fr0,14.6280302,121.0578126,14.6282818,121.0583988,361,848,Ermin Garcia Street
mq1fr0,14.6280302,121.0578126,14.6279924,121.0571481,361,256,Ermin Garcia Street
f2eahd,14.630071,121.0298429,14.6296523,121.0297457,362,146,Scout Tobias Street
f2eahd,14.6305783,121.0299606,14.630071,121.0298429,363,362,Scout Tobias Street
f2eahd,14.6310408,121.0300679,14.6305783,121.0299606,364,363,Scout Tobias Street
f2eahd,14.6310408,121.0300679,14.6315729,121.0301914,364,365,Scout Tobias Street
f2eahd,14.6315729,121.0301914,14.6310408,121.0300679,365,364,Scout Tobias Street
f2eahd,14.6315729,121.0301914,14.6320993,121.0303136,365,366,Scout Tobias Street
f2eahd,14.6320993,121.0303136,14.6315729,121.0301914,366,365,Scout Tobias Street
f2eahd,14.6320993,121.0303136,14.6326169,121.0304337,366,367,Scout Tobias Street
f2eahd,14.6326169,121.0304337,14.6320993,121.0303136,367,366,Scout Tobias Street
f2eahd,14.6326169,121.0304337,14.6331584,121.0305706,367,368,Scout Tobias Street
f2eahd,14.6331584,121.0305706,14.6326169,121.0304337,368,367,Scout Tobias Street
f2eahd,14.6331584,121.0305706,14.6336744,121.0306791,368,369,Scout Tobias Street
f2eahd,14.6336744,121.0306791,14.6331584,121.0305706,369,368,Scout Tobias Street
f2eahd,14.6336744,121.0306791,14.6341993,121.0308009,369,370,Scout Tobias Street
f2eahd,14.6341993,121.0308009,14.6349841,121.030983,370,371,Scout Tobias Street
f2eahd,14.6341993,121.0308009,14.6336744,121.0306791,370,369,Scout Tobias Street
f2eahd,14.6349841,121.030983,14.6341993,121.0308009,371,370,Scout Tobias Street
f2eahd,14.6349841,121.030983,14.6357976,121.0311725,371,372,Scout Tobias Street
f2eahd,14.6357976,121.0311725,14.6349841,121.030983,372,371,Scout Tobias Street
t7o385,14.6357976,121.0311725,14.6353459,121.0332389,372,393,Timog Avenue
ny3npi,14.6310331,121.0233637,14.6312819,121.0222138,386,8578,Don Alejandro Roces Avenue
ny3npi,14.6305635,121.0255343,14.6310331,121.0233637,387,386,Don Alejandro Roces Avenue
t7o385,14.6353459,121.0332389,14.6349868,121.0348321,393,9869,Timog Avenue
t7o385,14.6353459,121.0332389,14.6357976,121.0311725,393,372,Timog Avenue
bvdemp,14.6270084,121.0613199,14.6267164,121.0607084,395,2463,Aurora Boulevard
xtqvru,14.6222976,121.0516222,14.6216888,121.0502055,397,7508,Aurora Boulevard
h470z0,14.6243539,121.0559611,14.6240649,121.0553566,398,2466,Aurora Boulevard
e83z9h,14.6645461,121.0674542,14.6640496,121.0679914,403,10152,Tandang Sora Avenue
2mmy04,14.7328875,121.0504682,14.7323225,121.0496577,404,5146,Quirino Highway
2mmy04,14.7328875,121.0504682,14.7335238,121.0522709,404,7885,Quirino Highway
2mmy04,14.7316318,121.048711,14.7323225,121.0496577,405,5146,Quirino Highway
kfdzki,14.7218699,121.0388384,14.7218771,121.0386377,408,5495,General Luis Street
wqqi5f,14.6339272,121.0395659,14.6335532,121.0412818,438,13370,"Residential Road (438, 13370)"
wqqi5f,14.6339272,121.0395659,14.6343343,121.0377448,438,12371,Timog Avenue
2wzltk,14.6403635,121.0265446,14.6424763,121.0270282,462,10095,West Avenue
2wzltk,14.6403635,121.0265446,14.6399223,121.0264449,462,8157,West Avenue
hzmvg0,14.6302889,121.0710728,14.6294506,121.0693075,465,141,Aurora Boulevard
tubc2b,14.6355054,121.0683862,14.6347974,121.0707356,469,133,Xavierville Avenue
uzfczs,14.6355054,121.0683862,14.6362191,121.0654052,469,473,Xavierville Avenue
uzfczs,14.6360073,121.0648156,14.6362191,121.0654052,472,473,Xavierville Avenue
27suib,14.6360073,121.0648156,14.6358008,121.0642876,472,7336,Xavierville Avenue
