id_hash,source_lat,source_lon,target_lat,target_lon,source,target,road_name
bzkucx,14.6244248,121.0374542,14.6244964,121.0382839,260,9800,E. Rodriguez Sr. Avenue
bzkucx,14.6244248,121.0374542,14.6243963,121.0370763,260,9801,E. Rodriguez Sr. Avenue
d0cpdd,14.6280248,121.0363848,14.6286652,121.0386239,261,11,Kamuning Road
d0cpdd,14.6280248,121.0363848,14.6274348,121.0343282,261,11864,Kamuning Road
1swfjm,14.6230241,121.0320797,14.6237155,121.0316525,262,313,Doña Hemady Street
3f5uay,14.6175101,121.0551616,14.6178862,121.0556878,263,482,Pedro Tuazon Boulevard
tnv95z,14.7347812,121.0563575,14.734383,121.0547435,265,12819,"Residential Road (265, 12819)"
ry1blk,14.7342277,121.0556424,14.7329718,121.0555794,266,269,Belfast Avenue
vleqd9,14.7268113,121.0579474,14.7244952,121.0554343,267,1658,Mindanao Avenue
s9bpen,14.7298501,121.0612534,14.729751,121.0611451,268,10269,Mindanao Avenue
gew589,14.7298501,121.0612534,14.7302775,121.061256,268,9451,Regalado Highway
ry1blk,14.7329718,121.0555794,14.7316919,121.0554709,269,4654,Belfast Avenue
ib3e0m,14.6236775,121.0738186,14.6236783,121.0737074,270,271,Pedro Tuazon Boulevard
ib3e0m,14.6236775,121.0738186,14.6233842,121.0740565,270,7531,Pedro Tuazon Boulevard
ib3e0m,14.6236783,121.0737074,14.6236775,121.0738186,271,270,Pedro Tuazon Boulevard
ib3e0m,14.6236783,121.0737074,14.6236128,121.0732759,271,522,Pedro Tuazon Boulevard
jgynt1,14.6231665,121.0715381,14.6230252,121.0709835,272,1285,Pedro Tuazon Boulevard
uqdbg2,14.6231665,121.0715381,14.6237197,121.0713657,272,553,Jose P. Rizal Street
shw0ys,14.6231665,121.0715381,14.6223073,121.0717741,272,13033,"Residential Road (272, 13033)"
jwl4q2,14.6231665,121.0715381,14.6234211,121.0725072,272,1281,Pedro Tuazon Boulevard
jgynt1,14.6225133,121.0688881,14.6225405,121.0673261,273,274,Pedro Tuazon Boulevard
jgynt1,14.6225133,121.0688881,14.6226358,121.0694075,273,2479,Pedro Tuazon Boulevard
bezacn,14.6225405,121.0673261,14.623127,121.0673635,274,556,Lakandula Street
8v94g2,14.6225405,121.0673261,14.622169,121.0653637,274,2476,Pedro Tuazon Boulevard
jgynt1,14.6225405,121.0673261,14.6225133,121.0688881,274,273,Pedro Tuazon Boulevard
deqsgj,14.6734863,121.0489103,14.6745093,121.0469387,276,3654,Tandang Sora Avenue
a88ivm,14.6761268,121.043616,14.6749053,121.0435113,278,12110,Visayas Avenue
u57r57,14.6082254,121.017184,14.6090338,121.0171297,279,10070,Gregorio Araneta Avenue
u57r57,14.6153268,121.0167442,14.6169781,121.0158976,280,281,Gregorio Araneta Avenue
u57r57,14.6169781,121.0158976,14.6188255,121.014997,281,11964,Gregorio Araneta Avenue
fmr1sq,14.6393614,121.0066014,14.6391278,121.0067281,292,1215,Gregorio Araneta Avenue
6ymi38,14.6358712,121.0086795,14.6329242,121.009004,293,294,Gregorio Araneta Avenue
6ymi38,14.6329242,121.009004,14.632158,121.0093232,294,8164,Gregorio Araneta Avenue
1t1rz8,14.6305049,121.0110259,14.6301007,121.0101067,295,1517,Maria Clara Street
4tu8qp,14.6305049,121.0110259,14.6291757,121.0123435,295,1527,Gregorio Araneta Avenue
rm63mh,14.6156686,121.0305298,14.6149379,121.0309824,296,8679,Broadway Avenue
rm63mh,14.6156686,121.0305298,14.6163822,121.0300851,296,8680,Broadway Avenue
ctfjp7,14.6179373,121.0291462,14.618818,121.0286095,297,298,Broadway Avenue
rm63mh,14.6179373,121.0291462,14.6170746,121.0296627,297,8681,Broadway Avenue
1z3rfy,14.618818,121.0286095,14.6197317,121.0280576,298,299,Broadway Avenue
ctfjp7,14.618818,121.0286095,14.6179373,121.0291462,298,297,Broadway Avenue
jezyyx,14.6197317,121.0280576,14.6204301,121.0276357,299,259,Broadway Avenue
1z3rfy,14.6197317,121.0280576,14.618818,121.0286095,299,298,Broadway Avenue
rm63mh,14.6132818,121.0320084,14.6142059,121.0314359,300,8684,Broadway Avenue
rm63mh,14.6132818,121.0320084,14.6126741,121.0323848,300,91,Broadway Avenue
s82vcw,14.6152845,121.0338076,14.6145834,121.0342247,301,302,Gilmore Avenue
s82vcw,14.6145834,121.0342247,14.6138851,121.0346595,302,75,Gilmore Avenue
s82vcw,14.618373,121.0319125,14.6178739,121.0322177,303,13326,"Residential Road (303, 13326)"
oyztk8,14.618373,121.0319125,14.6196356,121.0341627,303,310,8th Street
s82vcw,14.6169562,121.0327721,14.6162288,121.0332221,304,21,Gilmore Avenue
s82vcw,14.6201089,121.0308499,14.6192393,121.0313887,305,306,Gilmore Avenue
s82vcw,14.6192393,121.0313887,14.618373,121.0319125,306,303,Gilmore Avenue
1swfjm,14.622309,121.0325193,14.6230241,121.0320797,307,262,Doña Hemady Street
1swfjm,14.6214072,121.0330737,14.622309,121.0325193,308,307,Doña Hemady Street
oyztk8,14.6205318,121.0336164,14.6214072,121.0330737,309,308,Doña Hemady Street
oyztk8,14.6196356,121.0341627,14.6205318,121.0336164,310,309,Doña Hemady Street
oyztk8,14.6182442,121.0350036,14.6189479,121.0345854,311,13,Doña Hemady Street
