id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
badb94,14.6375817,121.0480395,14.6376579,121.0476882,V. Luna Road,secondary,157,3526
badb94,14.6375817,121.0480395,14.6374433,121.0487291,V. Luna Road,secondary,157,2485
ibevbn,14.6378658,121.0580814,14.6372717,121.0580619,Anonas Street Extension,tertiary,158,2846
ibevbn,14.6378658,121.0580814,14.6384798,121.0581219,Anonas Street Extension,tertiary,158,2568
badb94,14.6361718,121.0545444,14.6363342,121.0538083,V. Luna Road,secondary,159,2843
np4ivo,14.6361718,121.0545444,14.633739,121.0541882,Kalayaan Avenue,secondary,159,2563
k0hgal,14.6379812,121.0462198,14.6380048,121.0461124,V. Luna Road,secondary,160,7737
badb94,14.6379812,121.0462198,14.6376579,121.0476882,V. Luna Road,secondary,160,3526
aks3ai,14.6379812,121.0462198,14.6408202,121.0468809,East Avenue,primary,160,2825
iwdb2d,14.6548201,121.0643146,14.653821,121.0649568,,,163,10097
rt7ypt,14.6547985,121.0623334,14.6548201,121.0643146,University Avenue,tertiary,164,163
rt7ypt,14.654732,121.0584235,14.6547853,121.0615716,,,165,10932
wum4h5,14.654732,121.0584235,14.6511367,121.0591362,,,165,10822
cs290t,14.5931803,121.0586597,14.5937043,121.0588375,EDSA,primary,166,43
cs290t,14.5931803,121.0586597,14.5930397,121.0586102,EDSA,primary,166,1859
y7c1a0,14.6316004,121.0740613,14.6317342,121.0743251,"Primary Road (168, 76)",primary,168,76
cyjjhk,14.6316004,121.0740613,14.6310943,121.0740455,,,168,13071
6v67hs,14.6360665,121.0743374,14.6355416,121.0743127,Katipunan Avenue,primary,169,8755
m2d3cp,14.6182005,121.0781009,14.6164511,121.0761226,Colonel Bonny Serrano Avenue,primary,176,2446
hd112s,14.6561513,121.0716067,14.6561433,121.0706345,Osmeña Avenue,tertiary,197,8523
pxpemt,14.6476905,121.0642904,14.6473546,121.0623758,,,215,13244
ra62r4,14.6472033,121.068968,14.6472782,121.0705185,Carlos P. Garcia Avenue,secondary,224,8965
ra62r4,14.6472033,121.068968,14.6472496,121.0678673,Carlos P. Garcia Avenue,secondary,224,42
pxpemt,14.6477267,121.0650291,14.6478019,121.0653881,Carlos P. Garcia Avenue,secondary,226,227
pxpemt,14.6477267,121.0650291,14.6476832,121.0646545,Carlos P. Garcia Avenue,secondary,226,9369
pxpemt,14.6478019,121.0653881,14.647959,121.0657812,,,227,11019
pxpemt,14.6478019,121.0653881,14.6477267,121.0650291,Carlos P. Garcia Avenue,secondary,227,226
pxpemt,14.6473416,121.0623229,14.64713,121.0608375,Carlos P. Garcia Avenue,secondary,238,9495
25b4oe,14.6357375,121.0639437,14.6358008,121.0642876,Xavierville Avenue,secondary,251,7336
6efvw5,14.6357375,121.0639437,14.634357,121.0619897,Chico Street,secondary,251,98
u0cbyx,14.6291947,121.0318496,14.6296523,121.0297457,Don Alejandro Roces Avenue,secondary,252,146
35wov4,14.6217416,121.0298642,14.621032,121.03029,Gilmore Avenue,secondary,255,569
mq1fr0,14.6279924,121.0571481,14.6280302,121.0578126,Ermin Garcia Street,tertiary,256,361
8wydjp,14.6279924,121.0571481,14.6287801,121.0560842,Ermin Garcia Street,tertiary,256,360
