source_lat,source_lon,target_lat,target_lon,source,target,road_name,speed_kph,freeFlow_kph,jamFactor,isClosed,segmentLength,oneway
14.631934,121.041286,14.631847,121.041263,50,9948,11th Jamboree Street,23.403488,50,6.448033,False,9.990000,0
14.631934,121.041286,14.632595,121.041444,50,9949,11th Jamboree Street,50.000000,50,1.000000,False,75.450000,0
14.633008,121.044594,14.633154,121.044891,51,2800,,38.056952,50,2.690600,False,35.880000,1
14.633008,121.044594,14.632551,121.044847,51,7424,EDSA,50.000000,50,1.000000,False,57.670000,1
14.632756,121.045116,14.633502,121.045156,52,2765,,50.000000,50,1.000000,False,84.090000,1
14.632756,121.045116,14.633154,121.044891,52,2800,EDSA,50.000000,50,1.000000,False,50.440000,1
14.654892,121.058422,14.654732,121.058424,53,165,Carlos P. Garcia Avenue,50.000000,50,1.000000,False,17.840000,0
14.654892,121.058422,14.655297,121.055762,53,10164,University Avenue,42.267993,50,3.309387,False,328.750000,1
14.704652,121.082188,14.704352,121.083224,54,60,Commonwealth Avenue,50.000000,50,1.000000,False,116.350000,1
14.703551,121.084588,14.702823,121.084180,55,4884,Don Fabian Castillo Street,50.000000,50,1.000000,False,92.780000,0
14.703551,121.084588,14.700998,121.086519,55,4889,Commonwealth Avenue,50.000000,50,1.000000,False,354.790000,1
14.707381,121.063614,14.707320,121.063538,56,12926,Cuisia Avenue,14.219581,50,9.810369,False,10.700000,0
14.707381,121.063614,14.706771,121.064307,56,4533,Commonwealth Avenue,50.000000,50,1.000000,False,101.350000,1
14.713786,121.094414,14.713780,121.094670,57,10695,Payatas Road,50.000000,50,1.000000,False,28.440000,0
14.713786,121.094414,14.714239,121.093336,57,59,Payatas Road,50.000000,50,1.000000,False,126.390000,0
14.713786,121.094414,14.713198,121.093884,57,9163,Narra Street,50.000000,50,1.000000,False,86.660000,0
14.714239,121.093336,14.713684,121.093111,59,6649,Mahogany Street,50.000000,50,1.000000,False,66.240000,0
14.714239,121.093336,14.713786,121.094414,59,57,Payatas Road,50.000000,50,1.000000,False,126.390000,0
14.714239,121.093336,14.714347,121.091673,59,9281,Payatas Road,50.000000,50,1.000000,False,179.710000,0
14.704352,121.083224,14.704173,121.083595,60,4890,Commonwealth Avenue,50.000000,50,1.000000,False,44.570000,1
14.704352,121.083224,14.702265,121.082850,60,4891,"['1st Street', '5th Street']",50.000000,50,1.000000,False,284.870000,0
14.700817,121.088516,14.701003,121.088207,61,10527,President Quezon Extension,50.000000,50,1.000000,False,39.120000,1
14.700817,121.088516,14.700728,121.088430,61,10530,Payatas Road,50.000000,50,1.000000,False,13.530000,1
14.721542,121.111358,14.721037,121.111363,62,6640,Empire Road,50.000000,50,1.000000,False,56.100000,0
14.721542,121.111358,14.722180,121.109310,62,6618,Payatas Road,50.000000,50,1.000000,False,242.430000,0
14.721542,121.111358,14.724857,121.112448,62,12578,Payatas Road,50.000000,50,1.000000,False,499.530000,0
14.727023,121.114898,14.726919,121.114962,63,12806,Narra Street,50.000000,50,1.000000,False,13.490000,0
14.727023,121.114898,14.727772,121.116955,63,11166,Payatas Road,50.000000,50,1.000000,False,236.430000,0
14.727023,121.114898,14.724857,121.112448,63,12578,Payatas Road,50.000000,50,1.000000,False,373.870000,0
14.617580,121.001669,14.617615,121.001800,64,175,Mabuhay Rotonda,50.000000,50,1.000000,False,14.970000,1
14.617885,121.001516,14.617765,121.001482,65,174,Mabuhay Rotonda,50.000000,50,1.000000,False,13.970000,1
14.605657,121.018571,14.605546,121.018683,66,1568,Gregorio Araneta Avenue,50.000000,50,1.000000,False,17.270000,1
14.604976,121.070140,14.606697,121.070352,67,1985,Katipunan Avenue,50.000000,50,1.000000,False,192.690000,0
14.604976,121.070140,14.602291,121.069131,67,1941,Katipunan Avenue,50.000000,50,1.000000,False,317.820000,0
